Username,Rating,Date and Time,Comment,Sentiment
edwardcaroro,5,2024-09-15 13:19,"PerformanceGoods naman so far di pa natesting ng matagal
Best Feature120hz display
Product QualityGood for its price

Okay naman sya dont expect to much lang kasi mid range phone lang sya pero allgoods naman kasi 120hz refresh rate smooth gamitinmabilis din ma deliver salamat seller",2
a*****o,5,2024-10-15 15:35,"Product Quality910
Performance810
Best Featurespeakersound

Second time na namin umorder sa store na to Super legit at siguradong cellphone ang makukuha mo at Hindi bato 

In terms of phone naman 
Camera 710
Screen 810 Hard touch pero bawi naman sa colordisplay",1
jericogumabon,5,2024-08-30 05:07,"Best FeatureALL GOODS
Product QualitySUPER ALL GOODS
PerformanceFKING AWESOME

Grabe tong shop ma to legit pa sa legit  
Nag wish ako sa seller nang fast shipping kinabukasan na received ko na agad agad lab you boss LEGIT dto mga tropammsobra dali kausap ni seller",2
xevymiguel,5,2024-09-08 10:22,"Performanceggood
Best Featurelegit phone
Product Qualitygood

solid phone for budget bought this for my kid and he is quite satisfied din aa significant upgrade from his last device",2
a*****g,5,2024-07-11 04:35,"Best Featurephone camera and system
Product Quality1010
Performancegood

Its really worth it and worth the price It has already a free tempered glass and case plus headset",2
i*****s,5,2024-07-21 08:19,"noong una kinakabahan ako kasi wala akong nakikita na reviews sa variant na ocean sunset kasi puro black lang yung may reviews

ang bilis din dumating kakacheckout ko lang noong July 19 and dumating din ng July 21

THANK YOU PO  ",2
mike_cool,5,2024-12-14 23:49,"Best Featureganda

sa wakas dumating na ganda ng phone sa murang halaga budgwt friendly at pati specs sulit sa presyo nagbunga din ang aking pag aantay salamat shopee seller at delivery rider walamg damage ang unit at box",2
b*****o,5,2024-08-01 18:04,"Performancevery good
Product Qualitynice
Best Featurespeaker and camera

Sobrang bilis ng deluver ayos tong seller nato 2days lng legit p Badtrip ako sa mismong xiomi official store na inorderan ko ng una mg 1 month na wala pdin ayun kinancel ko  Dito the flash",2
081516karen,5,2024-09-03 13:18,"Best Feature Green 6128gb
Performance Verygood
Product Quality Verygood

Ganda ni note 13 thank you so much seller dimo ko bnigo Very recommended tong shop na to LEGIT 
1st time ko umorder ng cellphone sa shoppee and hndi ako ngkamli ng shop na pnili Thank you somuch God Bless",2
m*****a,5,2024-09-15 01:14,"Performanceexcellent
Product Qualityexcellent

Legit phone legit seller Got it for only 75k dahil sa discounts and vouchers Sulit na sulit Seller is also responsive nung nagkaproblema sa delivery Thank you sm And sa freebie too seller Cant say anything about the overall performance pa sa phone since kakatanggap ko lang",2
jd.cr2,5,2024-09-21 05:40,"Performance1010
Product Quality1010
Best Feature1010

Responding to a positive review is a lot less stressful than responding to something negative but just as important Letting your happy customers know youve seen their kind words and you appreciate their feedback can encourage them to continue singing your praises",2
ufjdjwowifuwnwnfoco,5,2024-03-25 12:39,"Best FeatureWith earphones
Product QualityOriginal
PerformanceUsing it with a smile on my face",2
panther1204,5,2024-10-15 00:52,Ang ganda sa personal Smooth gamitin responsive ung phone Mataas pa ang Ram at Rom Tama ang pinadala at sa pag tetest ko ng ilang araw bago i order received wala namang sira o khit factory defect wala Safe n safe pagkaka pack kaya nakarating ng safe Salamat po seller,2
g*****1,5,2024-09-19 10:52,"Product QualityGreat
PerformanceGreat
Best FeatureGreat

The phone is good and the delivery is very fast i just ordered it yesterday and now i received it",2
g_004_hjfu,5,2024-07-23 12:10,"Product Qualityhappy
Best Featurehappy
Performancevery happy

Ganda nabudol ako ni ateng nag lilive sulit sa halagang 7 256gb",2
romjie23,5,2024-06-17 11:28,"PerformanceGood
Best Feature8256 Black
Product QualityHigh quality

Ang bilis at safe ung packaging ang bait pa ni seller my pa freebies pa ang bait din nong deliver man thank you highly recommended",2
m*****z,5,2024-08-04 14:47,"Best FeatureIts a good value device
PerformanceGreat
Product QualityGreat

The phone is smooth and fast but my only complaint is my old phones camera shoots better pictures Other than that the amoled screen and 120hz refresh rate looks so good",2
l*****5,5,2024-10-20 07:54,"Performancepirkerk
Product Qualitygoof
Best Featureok

ang piksurke lamanjg pero ayjos nga ang cellphone goods sjyaag mageto goods for 1 year use lang to after a year ramd",2
stannis24,5,2024-10-13 10:52,"Product Qualityvery good
Performancevery good for the price
Best FeatureAMOLED display 1080p 120hz

3 days lang andito na Yung item Iloilo Maganda pagka balot Legit Yung cellphone",2
t*****y,5,2024-11-07 12:12,"Product QualityPerfect
Best Featureda best for me

Ang galing po Pag ka check out ko na ship agad Hindi ka kakabahan eh Binili ko agad sira Yung phone ko need ko talaha Yung speed ng purchase at pag deliver ang mabilis Wala Ako masabi kakaorder ko lang kahapon ng tanghali nov6 natanggap ko agad Ngayon nov7 may pa freebie pa",2
angebee,5,2024-08-29 05:14,"Best Featuregood
Performancegood
Product Qualitygood",2
k*****e,4,2024-11-13 11:52,"Best FeatureBrand new
Product Quality910
Performance910

First time to buy in this store Legit naman po The seller is kind and active So far wala naman issue but we will further check if after ilang days or weeks kung magkaroon ng issue or kung defective yung unit I will edit my reviews

Charger is working too Thank you sa earphones na freebies Thanks sa rider at safe ang packaging at fast shipping God bless",2
wazerboy,5,2024-10-24 01:02,"Best Feature10
Product Quality10
Performance10

Legit yu  phone at legit si sellerkaya thank you seller at shopee at kay kuya rider na kahit umulan ehh nag deliver",2
d79e8alf9h,5,2024-07-09 00:07,"Performancegood naman pero yung camera parang delay sa video
Best Featurefast charging
Product Qualitygood

goods po yung product kinakabahan pa ako na baka bato dumating hahaha pero hindi totoong cp sya guys mabait pa si seller onthe go magreply sa mga messages order na ",2
cccams123,5,2024-02-24 00:53,"Performanceoriginal xiaomi

It arrived quickly And I love it Thank you The seller is also responsive to inquiries and it has a fee wired earphones ",2
bwtifkq03t,5,2024-10-13 02:43,"Best Featurecamera
Performancegood
Product Qualitygood

Worth the price sobrang bilis dumating good in packing ang bait pa ni riderthank u seller",2
cadetuy,5,2024-12-13 06:02,"Performancenot yet tested
Best FeatureAffordable
Product QualitySturdy and legit

Fast shipping and accomodating seller thumbs up",2
bernardkingllaneranepomuceno,5,2024-09-11 20:12,"Performanceallgoods
Product QualityExcellent

Salamat ng marami seller bibili pako soon",2
a*****9,5,2024-07-20 05:33,"Performance100
Product Quality100
Best Featurecan float 2 apps the fingerprint animation camera control centre side bar game turbo can dual app like messenger

Performance100
Product Quality100
Best Featurecan float 2 apps the fingerprint animation camera control centre side bar game turbo can dual app like messenger",2
j*****8,5,2024-12-16 07:55,Bang for the bucks 120Hz refresh rate vivid amoled display 5000mah battery Sulit got it for only 6k,2
n*****d,5,2024-10-16 13:34,"Product Qualityok
Performanceok
Best Featureok

Maayos Naman Siya guma gana at naka sealed maayos din Ang deliver walang damage nag spaylater kami tapos Wala din interest at may discount pa salamat shoppee kailangan Ng adaptor para sa charger nya salamat seller",2
r*****5,5,2024-07-23 11:30,"Performance10
Best Feature10

Mabilis dumating legit at trusted seller Wag matakot dito sa shop natookay na okay pa sa okay Kaya ano pang hinihintay Okay",2
_*****7,5,2024-09-17 12:15,I have this for 3 weeks already so far it is working well Tho it is quite lagging from time to time also when browsing in facebook for example Camera is really good Came with free black phone case Thank you ,2
joan.quilban,5,2024-07-08 06:15,"Best Featureslim and light easy to handle
Product Qualityvery good
Performancesuperb

Ang ganda ng unit for the price of 6400 only Salamat sa voucher",2
e*****a,5,2024-09-04 09:55,"Performancelegit
Product Qualityexcellent
Best FeatureFast delivery

Excellent quality Fast and smooth delivery Sulit with voucher less 1200 Much cheaper compared to physical stores",2
joooommaaarrr,5,2024-07-10 08:14,Solid nang unit tas yung store,2
remzvergara2017,5,2024-04-30 15:30,"Ganda ng quality hoping magtatagal ng sobra hindi sia mabigat pagdadalhin at matagal din malowbat 

Service mabilis i ship siya and secured yungg package hanggang sa pag receive ko Salamat po",2
vonl.abuhat,5,2024-09-22 11:15,"Product Qualitygood
Performancegood
Best Featuregood

Orig at maganda safe kau Dito bumili thanks seller",2
pinkyjalosirlanda,5,2024-10-14 09:25,"Product Qualityvery good
Performancevery good
Best Featurevery good

Overall very satisfied ako sa order ko para sa pamangkin ko  thank you sa mabait na seller at sa rider until my next order ",2
rowenairish0426,5,2024-12-22 04:18,"Best Feature1010
Performance1010
Product Quality1010

Ganda",2
bishojo_20,1,2024-07-24 03:54,"Best Featurecamera
Performancesmooth like criminal

Best Featurecamera
Performancesmooth like criminal",0
josepholiquino864,5,2024-08-05 05:52,"PerformanceVery good
Product Qualitygood quality
Best Featuresmooth

Maganda Yung products good yung quality satisfied customer recommended store",2
kenilyn_morales,5,2024-04-17 12:28,1 and half day ko lang na receive at napaka ganda thank u seller,2
nek0000000,5,2024-09-03 06:32,"Performanceworks as intended
Best Featurepackaging
Product Qualitysuperb

Grabe ang bilis ordered this on aug 31 received on sept 3 and this is amidst a typhoon pa Solid yung packaging and very secured wala gasgas yung mismong product and authentic sya guys redmi na redmi hahaha Will recommend this shop seller did an amazing service kudos to you saka kay rider very mapagbigay din ni kuyang rider kahit naulan Yun langs",2
ellaarca22,5,2024-06-24 07:17,"Best Featurecamera battery life
Product Qualityvery nice
Performancegood performancesmooth

Legit po ang CP may free din headset salamat po sa shopee sa discount bilis pa iship at dumatingsobrang bilis mag full charge pero tagal malowbat",2
michaelg.vidanes,5,2024-04-25 06:16,"Product Qualityvery good
Performancevery good
Best Featurevery good",2
sombritoj8,5,2024-07-21 07:07,"Performanceall goods
Best Featurelow price
Product Qualityoriginal Redmi note 13

Super Ganda promise check out na kayo par legit",2
georgettetatotolentino,5,2024-09-07 01:17,Legit 100 talaga si MiDigits Store 2nd order na namin sakanila yung phone una nung sa redmi note 12 last year ngayon redmi note 13 ang ganda ikaw talaga unang magbubukasbng phone may earphone pa na libre dito na kayo bumili ng phone napakalegit talaga,2
j*****4,5,2024-09-29 09:10,"PerformanceGoods
Best FeatureFast delivery
Product QualitySuper Quality

Sobrang legit sulit na sulit sa 6k buti nalang at may nabasa ako dito sa mga reviews na matagal ang process sa official store ni Redmi maraming maraming salamat seller",2
k*****b,5,2024-06-02 23:23,Legit and super bilis na delivery from the seller Thank you,2
rbryanmacdon,5,2024-07-09 11:48,"Best FeatureCamera
Product Quality1010
Performance1010

Mabilis dumating item goods nmn sya my freebie pa na headset medyo nag init lng agad yung cp pero over all goods nmn Recommended p din",2
jimmycredo043,5,2024-07-31 11:01,Legit po salamat mabilis ang shipping,2
archiedee0910,5,2024-09-04 04:26,"Product QualityOfcourse Xiaomi No doubt
Best FeatureBsta Xioami bang for the buck
PerformanceAbsoluty perfect

Legit seller 
Bilis ma deliver
Took only 2 days
Then may freebies pa
Overall satisfaction ",2
crestalvillaflor,5,2024-09-21 09:42,"Performance100000
Product Quality10000
Best Feature1000

Highly reccommend",2
boibk90,5,2024-12-03 00:16,"PerformanceSuperb
Best FeatureXiaomi Fast Charger
Product QualitySustainable product

Mobility LLC marketing as Motorola is an American consumer electronics manufacturer primarily producing smartphones and other mobile devices running Android Headquartered at Merchandise Mart in Chicago Illinois it is a wholly owned subsidiary of the Chinese technology company Lenovo",2
k*****l,5,2024-09-24 04:36,"Arrived safe and complete Legit product and of legit store Thank you so much for keeping my order safe
God bless po sa inyo ",2
i*****a,5,2024-09-21 07:26,I love the quality of this item Bonus point was that the seller was very accommodating and was able to ship my order right away Will surely purchase again on this shop,2
drodericks03,5,2024-09-19 00:31,100 legit sealed and packaged very well and secure with bubble wrap Super recommend seller Also came with freebie earphones Thank you,2
d*****u,5,2024-10-14 05:01,Inorder ko sya nung Oct 3 na receive ko Oct 4 As of now 10 days ko na syang nagagamit So far so good naman Downgrade lang talaga ang redmi sa camera lalo yung front cam Mas maganda pa din yung camera ng Redmi Note 10 4g ko Nakapag dowload ako ng COD here and okay naman sya For its price okay na okay sya,2
meistergambino,5,2024-12-18 06:24,"Performance100
Product Quality100
Best Feature100

Binili ko dec16 received by dec18 All goods working and complete sobra secure ng box plus bubble wrap Got it only for 6500php 8gb128gb
REDMI NOTE13 
Legit af",2
james_derequito,5,2024-06-21 10:35,"Product QualityGood Quality
Best FeatureGood
PerformanceGood

Maayos at nka sealed ng maigi thank you seller at delivery rider dahil naideliver ng maayos at safe",2
j*****n,5,2024-06-11 09:02,"Performancegreat so far
Best Featurelegit products
Product Qualitygreat

The product is great and delivery was super fast arrived earlier than expected thank you seller",2
baviii,5,2024-09-07 04:56,"PerformanceGood
Product QualityGood
Best FeatureGaming

The product is good Legit no issue within the expected date and the delivery man The phone is functioning well and added with a freebie headset On the downside although the seller is responsive heshe couldve sent picture or proof before shipping it God bless your shop More sales to come Will surely order here again",2
g*****z,5,2024-07-19 07:54,Legit naman sya thank you seller Bought for only 8K pesos,2
chanel919,5,2024-09-07 08:51,"Product Qualitygood
Best Featurenothing
Performanceaverage

Medyo mabagal lang sya understandable naman since budget phone sya pero kung ikukumpara sa rs4 much better rs4


Wala pang 24hrs dumating na mabilis pa sa mabilis",2
e*****n,5,2024-07-12 00:50,Secure naman yung item at ang bilis din ng pag deliver ,2
_beelot,5,2024-10-13 15:38,The phone was great pero redmi note 10s camera is better,2
j*****o,5,2024-04-02 13:18,Seller was approachable and fast to reply and ship immediately my order,2
marymerrr,5,2024-04-06 18:28,"Performance1010
Best Feature1010
Product Quality1010

Ang Ganda Ng phone ",2
r*****7,5,2024-08-29 07:36,Legit po sya kakarecieve ko lang  Maganda din quality and packaging,2
p*****y,5,2024-05-14 09:07,"Best Featuregoods
Product Qualitygoods
Performancegoods

Legit store at may freebies Siya earphone",2
boyaxnavales,5,2024-09-07 14:09,"Performancesmooth
Product Qualitygood
Best Featureamoled

Ngaun ko lang na buksan kaya legit Redmi note 13 
At may earphones pang Kasama hehe",2
mikha_wantwothree,2,2024-09-12 08:59,Product Qualityitem screen has lag and not stable when touching  the screen or doesnt follows easily when i move it from one place to another bumibitaw po kapag nag minomove yung screen,0
d*****g,5,2024-05-28 05:00,Good for its priceand it arrived earlier than scheduledhope this product will serve longerthnk u seller for the good packaging it arrived safely,2
kpaulo15,5,2024-06-09 02:39,"Best Feature1010
Performance1010
Product Quality1010

Legit di bato yong dumating",2
w*****3,5,2024-09-16 10:52,"Product Quality1010
Performance1010
Best Feature1010

1010
Legit Thank you po",2
charlieeeee24,5,2024-08-02 03:38,"Best Featuregoods
Performancegoods
Product Qualitygoods",2
johnbellizar,5,2024-03-22 10:37,"Product Qualitygoodz
Best Featuregoods
Performancegoodz",2
y*****n,5,2024-09-24 22:24,"Best FeatureALL GOODS
Product QualityLEGIT
PerformanceSMOOTH",2
afrotonic,5,2024-04-16 14:04,"PerformanceExcellenct
Best Featurecamera
Product Quality10

Fast delivery and friendly seller 1010 recommended",2
avhoke015,5,2024-05-17 07:27,"Performancegood ls n goods
Best Featurecamera
Product Qualityvery quality

legit n legit ang seller at iteslms bili n kayo",2
y*****i,5,2024-08-28 09:16,"Performancegreat
Best FeatureCamera
Product Quality5star quality

The Redmi Note 13 features a 667inch AMOLED display with a high brightness level making it suitable for outdoor use However it has a standard 1080p resolution which is common for phones in this price range The design is quite standard with a flat back and flat screen but it doesnt stand out particularly in terms of aesthetics",2
eun.onshop,5,2024-11-21 04:39,"Best Featuregood
Performancegood
Product Qualitygood

Thank you Seller its in good condition for 3 days now Hope will last longer  God Bless",2
freddieboy13,5,2024-11-04 09:35,"Performancegood
Best Featurebest 
Product Qualitylegit ",2
jelynsequito,5,2024-09-07 18:07,"Best Featuregood
Product Qualitygood
Performancegreat

To be follow nlang ung feedback itest muna ung phone Sana tumagal",2
rayenero,5,2024-05-20 15:00,"Product Qualitynice
Best Featurenice
Performancenice

Nice",2
k*****n,5,2024-09-01 10:14,"Performancemabilis dumating kakaorder lang kahapon ng tanghali dumating na agad
Product Quality1010
Best Featureall",2
a*****5,5,2024-08-29 22:51,"Performancebest
Product Qualitygoooo",2
jaydeeng0673jks,5,2024-07-06 04:58,Grabeeee kagabi ko lang inorder received na agad ngayon 2nd time ko na nag order dito Apaka sulit,2
sweetnchicccotheshoppe,5,2024-11-11 14:01,Nice performance and fast delivery,2
m*****n,5,2024-05-22 09:43,"Best FeatureSecured packaging
Product QualityLegit item
PerformanceReliable",2
r*****x,5,2024-05-08 14:00,"Hindi ko na napicturan kasi binigay ko na kagad sa ky papa at tito ko 
Legit na Cellphone guys hindi po bato yung laman",2
kristofferjetdluna,5,2024-10-31 07:55,"Best FeatureProcessor
PerformanceVery fast
Product Quality

Delivered in 24 hours wellpackaged no damage ",2
s*****a,4,2024-10-21 08:21,First time buying on shopee Delivery was fast I received the device with no damage I didnt receive the freebie tho ,2
m*****4,5,2024-12-05 06:41,"Performancegood
Product Qualitygood
Best Featureok n ok sa mga laro mobile games ng anak ko

Thanks shoppe seller and rider",2
tourismbaby,5,2024-11-29 09:12,sobrang bilis ng delivery 26 ako nag order tas dumating na 29 dito pa sa iloilo thank you,2
dennis.guerrero,5,2024-06-06 22:04,dont expect too much  its not a flagship phone  for its specs the price is worth it ,2
g*****b,5,2024-07-26 13:21,"Performanceworking
Product QualityLegit",2
digitallib,5,2024-07-24 04:37,"Product QualityExcellent
PerformanceExcellent
Best Featurecamera",2
jesjendeoa6366,5,2024-09-16 00:53,"Best Featureall good
Performancebest
Product Qualitybest

Salamat seller shopee and courier Ok na pang online class ng anak ko",2
jpx3m,5,2024-09-13 02:05,"PerformancePerfect performance
Product QualityPerfect Quality so far",2
camillequicho,5,2024-11-01 14:41,"Best Featureawesone
Product Qualityawesome
Performanceawesome awesome awesome awesome",2
darrylcallano,5,2024-06-18 07:48,"Product QualitySatisfied Costumer
Best FeatureSatisfied Costumer
PerformanceSatisfied Costumer",2
mitchix,5,2024-09-19 10:46,"Performancevery good
Product Qualityvery good
Best Featurevery good",2
ironfox10,5,2024-09-05 12:20,"legit at bilis dumating 2days lang na para bang walamg bagyo
redmi note 13 8128 midnight blackthankyou seller",2
vicivanremegio,5,2024-09-14 01:32,"Best Feature1010
Product Quality1010
Performance1010

Legit  percent ang itemmabilis lang ang delivery kahit nasa Mindanao pa ang location",2
reinver7778,5,2024-05-10 01:26,"Product QualityGood build Quality
Best FeatureCamera
Performancesuper smooth

Worth it and legit also fast delivery",2
c*****z,5,2024-08-21 10:48,"Performance1010
Best Feature1010
Product Quality1010

Legit",2
jojiewong,5,2024-09-01 05:28,"Product Qualitygoods
Best Featuregaming camera
Performancegoods okay

Okay sya gamitin amoled   No damage Nice thanks",2
a*****l,5,2024-10-30 02:17,"Product Quality10
Best FeatureCamera
Performance8

More than 2weeks na bago ako nag rate okay Naman maganda may times Lang na lagy sya pero over all Goods na Goods thank u seller  

Yang mga pic Kuha KO Yan SA mismong Phone at Maganda namn Kaya Ok na ",2
maanllantinogolpeo934,5,2024-09-17 08:10,Ang bilis mdeliverganda legitnakasealed tlaga at safe,2
spendwisedepot,5,2024-09-16 12:14,Mas mura dito kesa sa malls Ang tagal lang nila dinispatch yung cellphone,2
vlclothing.ph,5,2024-11-06 04:36,"Product Quality1010
Best Feature1010
Performance1010

Thank you bilis delviry",2
erudite95,5,2024-11-01 16:08,Thank you seller I got the item the following day after placing the order This is my second time na bumili ng phone Legit na legit,2
e80tgwzs2_,4,2024-03-20 17:31,"Product QualityAverage
Best FeatureSulit with voucher
PerformanceAverage",2
zurcaled002,5,2024-08-25 04:26,"Best Featurelegit

2nd time ko na bumili sa shop na to Legit talaga",2
leslie_d_sy,5,2024-12-02 02:45,Well packed   Arrived sealed,2
merilynrealingo,5,2024-07-04 03:58,"Performance10
Product Quality10
Best Feature10

Good
mmmmmmmmmmmmmmmmmmmmmmmmm",2
bellecasabuena,5,2024-10-22 12:07,"Product Qualityoknsnzjz
Best Featureok bsbzhzh
Performancejajaj

JJJzzjzjjznzbzbzbzjzjjzjzjzjjzjzznnznnznznznzznnznznznznznznznznzznznnznznzjzjz",2
lmvenice,5,2024-10-22 02:15,"Best Feature100
Product Quality100
Performance100",2
a*****a,5,2024-11-06 14:18,"Best Feature100
Performance100
Product Quality100",2
gabriel3495,5,2024-09-22 14:25,Maganda Dbest si seller Salamat,2
m*****i,5,2024-11-04 23:59,"Unbelievable i can do that for sure but i need to find a partner first hahahah

U will never know when a single kiss will turn into a struggle over who can sck more oxygen from one another",2
m*****i,5,2024-11-04 23:54,"Unbelievable i can do that for sure but i need to find a partner first hahahah

U will never know when a single kiss will turn into a struggle over who can sck more oxygen from one another",2
abayon1234,5,2024-11-14 10:18,Ok goods na goods po  wala legit online  no need video,2
kian.omandam,5,2024-11-28 11:37,Super nice po Nagustuhan ni hubby Thank you seller ,2
jap17,5,2024-07-03 00:56,I will update after a few weeks Thank you seller ,2
renz.velez,5,2024-09-02 13:23,I just bought it so its too early to give proper comments Will edit this after a month of usage,2
j*****9,5,2024-09-16 16:33,Legit product,2
m*****y,5,2024-03-06 08:06,"Product Quality10
Performance10
Best Feature10",2
bubblyjudyyy,4,2024-09-12 14:32,"Best FeatureRefresh rate 120Hz
PerformanceSmooth phone
Product QualityCamera not so good watching videos also kind of different than my previous phone redmi note 8 pro

Overall good phone for a cheap price camera is not good i feel like note 8 pro is still better than this one No original color scheme
Seller service is amazing tho",0
e*****a,4,2024-05-04 11:29,Nag ffreeze yung screen kapag nag ccodm ako hindi naman nangyayari yon sakin sa realme c3 ko dito sa phone na to nahihirapan akong mag aim,2
marco070707,5,2024-06-24 03:15,Solid Legit item and original,2
c*****s,5,2024-09-15 13:06,Walang damage mabilis naship Anlaki pa ng discount sa vouchers Sooo happy with my purchase may free pa na earphones I recommend,2
christoferlansero,5,2024-09-28 05:17,"Best Featuregood
Performancegood
Product Qualitygood

Slightly disappointed with my freebie but overall good purchase 
As described phone Smooth and no damages or dents",2
myonlyloveone191919,5,2024-07-15 06:25,Sulit great phone despite im using it as backup still performs well Got it for 6k Using vouchers,2
j*****9,5,2024-09-26 11:55,"Best FeatureDisplay
Performancesatisfying
Product Qualityexcellent

Good choice Try ko laruin PUBG Okay na okay Thanks midigits for the fast transaction May pa freebie pang headset",2
hollaa15,5,2024-09-25 12:05,"Product QualityIs good
Best Featureamoled screen
Performanceperfect for its price",2
kathrynjoyclaudel,5,2024-06-21 03:09,Thank sa seller sa consistent niya na kausap sa deliveryman na napakabait palagi Okay ang unit Magagamit ko na agad ,2
anthonett11,5,2024-06-12 02:10,Hi Weve successfully completed our system activity and you may now process accountrelated requests such as plan upgradesdowngrades or content and device addon availment via the GlobeOne app Thank you,2
heyairaa,5,2024-06-15 03:07,The quality is SUPERB with such a cheap price got it with a 1k discount bc of the voucher  VERY FAST DELIVERY THANK YOUUU it also has freebies of a headset ,2
brgarcia,5,2024-06-12 04:05,I am happy with my order I finally have a working phone,2
g*****8,5,2024-08-15 12:55,Ganda ang linaw ng cam u can also dl gcam for better shots,2
amadeusitchon,5,2024-05-26 13:42,"Best FeatureAMOLED screen
Product QualityImpliedsealed box
PerformanceSo far so good

The wife loves it

She wanted a good camera but has to compromise against cost",2
marrianelaina0302,5,2024-07-02 21:24,"Best Featuregood
Product Qualitygood
Performancegood

pikit matang bibilhin para sa anak ",2
a*****s,5,2024-05-23 05:43,"Thank you seller for the replies to my messages fast service  nice packaging

Thank you JT for the fast  speedy delivery with no Damage",2
o*****a,5,2024-05-25 13:22,"Product Quality1010
Performance1010
Best Feature1010",2
g*****a,5,2024-06-21 05:10,"Best FeatureAMOLED Screen
Product QualityGood
PerformanceGood enough

Packaging was great and the device is good Accurate orders and encountered no problems naman as of now 1 week ko muna tinest yung phone and so far okay naman lahat from signal strength to screen quality everything was great Kudos to the seller for selling phones at a lower price din",2
trickz.per07,5,2024-05-12 11:11,"PerformanceExcellent
Best FeatureExcellent
Product QualityExcellent

Legit",2
r*****o,5,2024-06-01 03:16,"PerformanceGood
Best FeatureAMOLED Display 108Mp Camera
Product QualityGood

Legit product Hindi bato HAHAHAHA Thank you Midigits

The product is good in terms of camera performance and display",2
,5,2024-05-04 21:23,"Product Quality1010
Best FeatureLong lasting battery performance
Performance1010

Im satisfied with my order Phone is working perfectly more than what I expected Matagal din malow batt yung phone which is awesome Will recommend this store ",2
kevennuyad,5,2024-04-24 11:16,"Performancevery good
Product Qualityvery good
Best Featureon screen scanner

Fast shipping and well packed Legit brand new and sealed Thank you sa freebie  Thank you seller for the good service ",2
arjayurbina1986,5,2024-05-06 15:05,Everything is good condition My buyer love it so much,2
franco_1234,5,2024-04-02 11:41,"PerformanceModerate
Best FeatureAMOLED  FAST CHARGING 33W
Product QualityAs expected by Xiaomi",2
potatoes_13,5,2024-03-14 09:34,"Performancenice
Product Qualitygreat

At first i was hesitant kasi baka ano mangyari pero ayos naman pag dating may freebie pa",2
j*****e,5,2024-05-23 02:27,"Best Feature10
Product Quality10
Performance10

Legit talaga at 2days lng na deliver agad

Nice1gar",2
