Username,Rating,Date and Time,Comment
bossfelipejr,5,2023-01-23 01:05,"Appearance:ganda.
Quality:nice
Suitability:ok naman

Ito na po ang pinakamahal ko led.head light pra sa motor ko. Ok po sya. Kasing lakas ng 6led. Sana tumagal. Salamat po."
marczandroabelladeguzman,5,2022-11-25 10:31,"Appearance:goods
Quality:all goods

ang ganda boss salamat ng madami walang damage at sulit sa presyo mura na maganda pa sana tumagal sya sa sasakyan namin salamat sa seller!"
faw6drwnky,5,2022-11-21 00:20,"Quality:10
Suitability:10
Appearance:10

Perfect fit, mas malinaw compared sa stock syempre! Dq pa n try sa gabi which is un ang concern q. But definitely approved sakin un product! Hoping tumagal hihi.."
gwh_general_collections,5,2023-02-17 09:09,"Appearance:10/10
Quality:10/10
Suitability:10/10

Super bright high beam and low beam. Highly recommended. Must buy. Thank you Shopee Seller and delivery rider."
mielgurl,5,2022-09-30 13:04,"Maganda po yung item, nagustuhan po ng kuya ko ang bilis din po ng shipping. Thank you seller na mabilis mag ship out ng item!"
e1kmyo662i,5,2023-12-05 15:19,"Quality:very good quality
Suitability:bagay na bagay
Appearance:maganda sya at maliwanag

Ayus naman lahat walang damage gumagana sya ng maayus  at sana tumagal mabait din yung nag deliver"
buboyrr,5,2022-12-08 02:36,"Appearance:very nice quality.

Very good quality. Product is cheaper than in the market. Hopefully the product last long."
mortelmaculada,5,2023-02-03 01:58,"Appearance:good
Quality:good
Suitability:plug and play

The item is good already installed work's perfectly ok not yet tried on night driving hoping the product will last longer."
c*****1,5,2023-03-12 04:01,"Appearance:photos above
Quality:works good
Suitability:suits Chevy Spark

No damages on the items. Packed properly. Already installed it on our Chevy Spark 2012. Works well. LED light is clear. Will check at night since we installed it during daytime. Thanks seller."
carlosgatela,5,2024-01-17 16:32,"Suitability:100% compatible
Quality:10/10
Appearance:aesthetically 10/10

My 2006 old car got a new look. Very commendable item, kung marunong k Mag diy(destroy-it-yourself), makakatipid k Dito. Tiis no more. 11/10 s costumer service.,  di nagkulang s paalala, kulang nlang yakapin aq.  Kaya arat na! Order na!"
emjhayc.caag,5,2022-07-18 02:16,"Appearance:good
Quality:good
Suitability:good

Salamat po sa seller, malinaw nman po ung ilaw compare sa luma,,, sa uulitin po ult n pag order, sana eh tumagal ung ilaw,,,tnx 👍👍👍👍👍👍"
bonglaid,5,2023-12-06 22:18,"Appearance:Looks durable, hope it will last long
Suitability:Confirmed suitable for Suzuki SX4 Crossover
Quality:Quality is great as per initial testing & usage

The product is very user friendly, its equipped with manual and sticker mounting guide which I really appreciate. Thank you seller for this very good product."
johnpaulibardelosa,5,2024-03-22 10:09,"Quality:Good
Suitability:Good
Appearance:Good

Solid!!!!!!! Napakalinaw. I will order again soon for the fog light naman.
Thanks so much to the seller and rider for fast delivery."
bryan_moore,5,2024-08-27 11:20,"Appearance:good
Suitability:good for Bajaj re
Quality:good

Super bait nang store na to. first order ko nagkamali ako tapos ne.return ko , Ang bilis nang refund I think 1 day lng ... this is my second purchased kasya sa Bajaj re ko ,malakas At klarong klaro ... maganda matibay, salamat seller and I will recommend this seller...5 stars"
g*****w,5,2022-07-01 03:36,"Perpektong box packaging, ang produkto ay mahusay na protektado, ito ay may mga tagubilin, ito ay madaling i-install, nasubok at ito ay mahusay na gumagana, ito ay isang kaaya-ayang sorpresa, irerekomenda ko ito sa aking mga kaibigan, at ako ay mag-order muli sa aking sarili, salamat sa iyo shopee👌"
jojomeremilla682,5,2023-01-11 11:13,"Appearance:Sleek design
Quality:Best
Suitability:Fit sa Tamaraw Fx

Napakaliwanag ng Ilaw, at matipid sa Battery kita sa digital voltmeter ng sasakyan ko napakaganda ng item na ito, ilan narin nasubukan ko pero okay na okay ito, ang lakas may nakaharang pang puno ng bayabas sa video pero kita ang liwanag lalo na siguro pag sa kalsada na. Sana lang tumagal. Thank you seller, highly recommended! TY din sa courier na kakilala at kaibigan na rin. Two thumbs up! Kaya bili na ka Shoppee!"
heton,5,2023-09-18 13:53,"Appearance:excellent
Suitability:fit perfectly
Quality:excellent

The box was sealed good package and looks good quality ,,hope it will last..
Delivery was ahead of time, thanks seller and delivery rider"
gracesantos21760,5,2022-05-18 08:54,"After comparing, the same product is cheaper than other stores, and the more you buy, the more discounts. I bought several pairs directly, and the quality is guaranteed. I think these are all very good."
decxeran,5,2024-01-29 08:59,"Quality:very good
Appearance:very good
Suitability:very good

thank you very much seller.. gumana po lahat napa ilaw ko na sa spresso ko sulit di ko mapicture yong pag ilaw kasi maulan dito sa davao del norte ngayon ininstall ko lang xa din pina ilaw din ayon ok na"
rod.maagad,5,2023-04-05 23:42,"Suitability:it works!
Quality:great value
Appearance:great purchase

Great job and great work by both the seller of this piece on this items as it was very interesting and very informative. This item purchased was an exceptional buy plus the quality and performance has made me a certified believer and a repeat purchaser. I first purchase mine for my motorcycle and installed it there. Excellent product."
m*****n,5,2023-01-28 13:31,"Appearance:legit
Quality:okay
Suitability:Worth the price

Received the items in well-packaged and good condition. Thank you so much for the fast and smooth transaction. Stay safe and healthy."
marin2005,5,2024-10-11 16:07,"Appearance:nice
Quality:looks durable
Suitability:suits my car

Thank you Seller and Shopee for a fast and hassle free transaction,...product was delivered immediately and all items received in good order and condition, well packed ..

til next transaction."
georgechuaph,5,2024-09-09 09:24,"Quality:looks ok
Suitability:yes it works!
Appearance:nice

Product came on time and properly packaged. Items were complete and correct and was able to install immediately and it works. I just hope it lasts a long time!"
chyyyyyyyyyy,5,2022-07-01 14:33,"Appearance:Well packed
Quality:Excellent
Suitability:Bright light

✔Great buy at a discounted price. 
✔My order is well packaged and delivered without any delay.
✔Very satisfied customer.  
Thank you."
ioniq09,5,2022-09-04 19:49,"Appearance:looks good
Quality:hop its durable
Suitability:good

Item is good, test it and it works fine
Sana tumagal sya para maging sulit yung bayad

Thank you"
polagrc,5,2023-11-07 13:06,"Appearance:what you see is what you get
Quality:good
Suitability:good

product arrived immediately after just a few days of ordering it. it was in good condition"
k*****n,5,2023-03-24 12:54,"Suitability:Good
Quality:Good
Appearance:Good

Thank you seller sa magandang item. Appreciated much. Hopefully gumagana siya. Very well packed hndi siya na tutupi. Well order again soon. God bless you ☺️☺️😊😊"
oliverneil,5,2023-01-15 10:54,"Quality:very durable
Appearance:good

The seller shipped immediately, I am very satisfied with the order, will order again soon"
prvoty45br,5,2022-03-28 09:30,"All items are intact. Thank you, seller! High quality and low price products, highly recommended! In addition, the logistics will soon arrive at my house, very good!"
s*****l,5,2023-12-06 10:22,"Appearance:10/10
Quality:10/10
Suitability:10/10

Thanks sa seller,napaka responsive at sa delivery rider.Hopefully matibay at magtagal iyong led light.Nagustuhan ko na nga at malakas.at least kampante na ako kapag nagbibiyahe ng malayuan at malakas na ang ilaw ng sasakyan namin kumpara sa stock light niya."
a*****n,5,2022-07-01 13:49,"Good quality .💯💯💯Made in China.shine a strong light..Get a coupon to place an order. acceptable price.Fast delivery. A trustworthy store with very good service attitude and guaranteed after-sales service. If necessary, I will continue to come to your store. I wish everything is so beautiful😘😘😘"
chaiiaglr,5,2022-04-11 22:32,Item is well packed! The condition is good. Fast delivery too. Pero di ko pa sya malalagay. I will edit my review if okay talaga sya once na install ko na.
nta9_ikmrc,5,2023-04-05 12:20,"Quality:matibay at maliwanag
Suitability:pweding pwede sa multicab ko
Appearance:complete accessories no damage

maliwanag na ngayun ang multicab ko pag gabi di na matatalo sa daan pagdating sa ilawan dahil super liwanag nya promise"
e*****e,5,2024-04-20 16:46,"Suitability:perfect
Quality:nice
Appearance:goods

Thank you seller and rider. Sana tumagal lang as you can see the video ok sya malakas ang liwanag Sabi din ng asawa ko maganda sa Gabi na byahe god bless po more sales to come"
e*****n,5,2022-09-24 01:36,"Appearance:Good
Quality:Sana Good
Suitability:good

MaBilis pong dumating ng item, gumagana rin ,tsaka sakto ang binigay, sakto ang H4 sa innova, sana tumagal tapos legit naman item.thanks"
letletalfonso,5,2022-11-08 06:44,"Appearance:just like the posted picture in the shop
Quality:I guess good quality for the price
Suitability:suitable for the car

Thank you shopee and sa seller received the item already hopefully no problem kasi dpa nakakabit affordable ang price fast shipping ☺️"
leyne.07,5,2023-12-11 11:17,"Appearance:excellent
Quality:nice
Suitability:great

Working naman siya sa sasakyan namin both low and high beam. Not sure if magtatagal siya. Sana namn para sulit. Maliwanag siya kahit tinted."
egaysoft12345,5,2023-11-30 14:03,"Suitability:very good
Appearance:very good
Quality:very good

Product was shipped and received within 24 hours. Good job seller and shopee! Will recommend this shop to others."
rickysimon354,5,2024-01-05 07:53,"Gonna test it later tonight. Want to see the difference, appreciate the packaging and also the quality. 5-star for this shop. Fast delivery and they keep you updated.

Just got uploaded the results ( Low beam only ) and i satisfied just like what i'm expecting, Thank you!"
ternok,5,2024-10-30 15:44,"Appearance:good
Suitability:10/10
Quality:nice packiging

maganda ung item,malinaw compare sa stock,sana lng magtagal at ndi agad masira,ok kausap si seller salute po,mabilia pa dumating ung item,salamat po"
c*****5,5,2024-06-02 12:50,"Suitability:good
Appearance:good
Quality:good

Maganda sya and easy to install. D ko pa lang natry if maliwanag talaga. But hope tumagal. Thank you kay seller for being so accomodating/responsive sa mga questions."
pcmp9fdcd7,5,2022-03-28 11:03,"I highly recommend this store, they send out items quickly and always in bubble wrap.Excellent quality very accommodating seller item well packed and shipped immediately will order again and refer them to my friends and familyI’m satisfied. Thank you.🙏🙏🙏🙏💕💕"
rollytombado,5,2022-12-08 15:31,"Appearance:very good
Quality:very good
Suitability:very good

Maayos ang packaging at bilis dumating ang item.thank you shoppee at seller."
dyey_em,5,2022-10-13 13:15,"Quality:good
Suitability:good
Appearance:good

Fast delivery. Well packaging. Ok nmn Yung item, na test ko na mas malinaw sa stock bulb. Sana magtagal. Salamat seller at shopee"
c*****n,5,2024-10-18 09:39,"Suitability:good
Appearance:good
Quality:good

The package arrived in good condition. I bought 9005 which is for high beam, I just installed it to my car. And it’s working.  I hope the LED bulb will last long. I will order for Low Beam."
danrevilloza,5,2023-04-30 11:28,"Suitability:100%
Appearance:100%
Quality:100%

Ang ganda 😍😍😍
Sa Video, di ko pa mapagana yung kabila,
Kasi sira pala wiring ko,
Kaya yang left lang muna 😁

Salamat sa napakaGandang LED Light na to,
Satisfied customer here 💪💪💪"
b*****r,5,2023-12-14 11:12,"Suitability:excellent
Appearance:excellent
Quality:excellent

the product has an excellent quality.  i recieved exact color, size, in good condition and complete item.  will surely order again. thank you seller and deliver rider ."
icyjuiceapril,5,2023-03-14 22:26,"Appearance:ok
Quality:good
Suitability:working

My order was shipped immediately, and it came in without any damage. Tested and working great."
jm7thsign,5,2022-09-14 10:47,"Quality:good quality
Suitability:suits my Mirage G4
Appearance:looks really good

Great items! Thank you seller!"
_88888888_,5,2023-05-04 08:47,"Appearance:good
Suitability:nice
Quality:I hope it's good

I haven't installed it yet. But I am really hoping that this is a good quality. I hope this will last long. And if this is a good sh#t I will buy this again next time, and probably will recommend to others too."
charlhet0706,5,2024-02-10 04:36,"Suitability:10/10
Quality:10/10
Appearance:10/10

ALL GOODS👏👏👏 . GUMAGANA LAHAT LOWBEAM/HIGHBEAM.. maliwanag kahit tanghaling tapat😂 Thanks po Sa seller bilis pa mag response. Recommended this Shop kita niyo naman sa Picture at videos👌👌"
nzvk3_ckt0,5,2022-05-17 10:18,"Binili ko ito sa pinakamurang presyo, ang tunay na NOVSIGHT, ang mga resulta ng pagsubok ay lubos na nasisiyahan, ito ay isang matapat na nagbebenta, hilingin ko sa iyo ng mas mahusay at mas mahusay"
corleonemichael21,5,2023-05-26 13:25,"Suitability:10
Appearance:10
Quality:10

Item arrived in good condition. White ledlights really strong headlights. Thank you seller Novasight and Shopee. Time to hunt 🧟‍♂️ 🧟‍♂️ 🧟‍♂️ Zombies now. Arriba."
phie101112,5,2024-09-09 22:34,"Quality:Good
Suitability:Good
Appearance:Good

I have ordered both headlights and foglights with this shop. All items are packed properly and products working satisfactory. Thank you seller."
mjmarco1993,5,2023-05-01 12:25,"Quality:100%
Suitability:90%
Appearance:100%

Swak ang wiring sa MITSU-L300, hindi ko lang alam kung paano ang diskarte sa goma na cover.  Dahil hindi kasya dahil sa FAN ng led light, so I decided na icut or palakihin ang butas pra mailagay ng ayos yung cover. Hopefully magtagal ang lifespan at hindi masira dahil nabasa ng ulan. PLUG AND PLAY ang item, so magnda sya for newbies katulad ko."
c*****7,5,2023-07-29 02:23,"After 2 days nareceived na rin po ang order! Sobrang bilis ng shipment ni seller at delivery ng J & T kaya 5 startls kayo sakin! Kahit naulan at nabasa ang parcel, maayos naman at hindi naman pinasok sa loob ng box. Upon testing, maayos naman yung dalawang ilaw para sa Sniper 150. Good job  seller! Keep up the good service for ur customers!"
m*****o,5,2023-05-06 17:47,"Appearance:very good
Suitability:very good
Quality:very good

Para sa wigo yong high nya code 9005 sa low naman H11 at sa foglight H11 din

Ang ganda ng led na to ang lakas compared sa ibang brand ang lakas nya grabe silaw talaga kasalubong tatlo na agad binili ko para uniform yong kulang white highly recommended tong store nato"
meloysaira,5,2022-10-05 06:22,"Appearance:safe ang packaging walang galos
Quality:quality is good 100% orig
Suitability:very fit sa da64w

Thank you seller and thank you shopee  
Legit seller here mga suki lods kay ano pa hinihintay nyo order na"
keynfers,5,2023-12-28 02:20,"Suitability:Perfect
Appearance:Very Good

Mabilis ang shipping tsaka very accomodating ang shop. Iupdate ka kung nasan na Parcel. Hindi ko pa na ilagay pero so far so good naman."
allenarimao,5,2023-08-09 00:45,"Appearance:great
Quality:great
Suitability:great

well packed, sealed from factory, early delivered. thank you seller."
j*****y,5,2023-04-11 09:53,"Suitability:Good
Quality:Better
Appearance:Best

Ayos quality"
dexthomas,5,2024-01-12 00:08,"Appearance:goods'
Suitability:goods
Quality:goods

Thank you po sa seller laging Naka update sa Order ko 
At ang bilis dumating 
Safe po siyang dumating 
Original super lakas ng ilaw 😘"
phie101112,5,2024-09-08 10:22,"Quality:Good
Appearance:Good
Suitability:Good

Product received well and installed already. Very satisfied and happy. Item packed very good. Awaiting for my next order. Thank you very much."
jefrjefreylastima,5,2023-12-24 00:20,"Suitability:very good
Quality:very good
Appearance:very good

nice and good quality thanks seller sa uulitin. edit ko na lang ulit pag nakabit ko ng yung mga ilaw."
jopabz,4,2023-10-09 00:11,"Quality:it seems good
Appearance:nice
Suitability:very good

So far so good...ayos nmn sana lng tumagal...better for longdistance...pinapalinaw nya ang madilim mong mundo.promise di ka mag sisisi.gusto ko pa sana mag kwento ng mag kwento para lng makuha ko ung 0.4 coins kaya eto tiyagahin ko na pasensya na kayo hi fi talaga ako madaldal gusto ko lng ung coi s okey.hahaha"
jimsonseli,5,2023-01-04 03:41,"Appearance:excellent
Quality:durable
Suitability:exact fit for my car.

Arrived just on time, no problem encountered. Thank you very much."
minfredmahinay,5,2024-01-16 12:47,Thanks Seller maganda quality at napaka lakas nang ilaw legit store oorder ako ulit soon
gerick019,5,2022-10-21 08:40,"Quality:ok
Suitability:ok
Appearance:ok

Thankyou for this wonderful product im applying for replace and seller is send me and now my light is fine

Thankyou seller 100 starts for you"
m*****5,5,2023-08-02 06:49,Hndi ko pa nakabit kaya dko masasabi na ok yung itim.maayus nman ang paglakabalot at walang anuman sira o gasgas ang itim.sana lng po gumana at tumagal.salamt seller
w*****a,5,2022-09-23 07:18,"Tnx seller, maganda ang unit, madaling ikabit, diko lng alam ang durability kung magtatagal xa. Ride safe po sating lahat."
markclintgucela,4,2024-02-05 03:29,"Quality:goof
Appearance:good
Suitability:good

Diko pa na try e install ung led lights pero prang sakto nmn sya lalo na ung h4 nya na saksakan,,, inaantayko pa yung lens ng headlight sabay ko na ekabit toh led"
johnreynaldragsac605,5,2023-11-18 23:38,"Quality:good quality
Appearance:good quality
Suitability:good quality

Good quality working po siya salamat shoppe"
j*****2,5,2023-10-17 10:25,"Suitability:10/10
Quality:10/10
Appearance:10/10

Very good seller, you don't have to worry ordering here because there is a long long enough time warranty 😊. Quality is excellent. Maliwanag talaga ang NovSight. Tnx seller tnx rider tnx Shopee!!"
ryanremollo,5,2022-12-12 13:26,"Appearance:very good
Quality:very nice quality
Suitability:it will suit to my headlight

Thank you seller for delivering this item in good condition. not expected to deliver it faster.. kudos to you."
f*****4,5,2024-06-30 09:29,"Suitability:7
Quality:7
Appearance:7

Received but haven’t tested it yet. Will further reviee and re-edit this review once tested and WORKING for my Mazda 3 Gen 1. Thanks

Delivery only took less than 36 hours!"
e*****1,5,2024-07-12 10:56,Napakacoordinate ni seller. Thank u so much at nasolved ang problem namin for the items. At for sure oorder ulit kami next time. Recommended shop eto
johmtan1724,5,2023-01-22 07:39,"Appearance:nice
Quality:ayos
Suitability:sakto

Bilis delivery. Ok ang product maliwanag! Ayos sa olrayt!"
n*****a,5,2023-12-19 02:03,"Suitability:Not yet attach
Appearance:Good
Quality:To be seen

Seller
Hope it will work out good
For my unit i will order again as soon i try this product
This shop will be my shop to order soon to come
Thankyou"
are_been,5,2022-10-16 04:52,"Appearance:Great product
Quality:Excellent
Suitability:Yes

Great packaging and delivered on-time. Thank you very much."
francis.a,5,2023-12-28 06:03,"Quality:excellent
Suitability:excellent
Appearance:excellent

NovSight is on the right(white), and stock bulb is on the left (yellow).  In daylight it does not look that different. Both are of same intensity it seems. But let's see during the night? Thanks seller.  White light is very bright and the price is reasonable.  Salamat. Sa uulitin."
a*****h,5,2022-10-02 05:19,"Quality:5/5
Suitability:5/5
Appearance:5/5

I have received the items complete well packaged/secured and quality products. legit.

 recommended. !
thank you and God bless. will order again."
jhunreyes266,5,2024-01-17 01:22,"Quality:good
Suitability:good
Appearance:good

Good quality product. Thank you seller! 😎"
alvingalopedeguzman,5,2023-02-15 10:10,"Appearance:Very very Good item
Quality:10/10

All Good fog light/lowbeam/HighBeam toyota wigo"
jonathan816,5,2023-10-15 03:55,SUPER LEGIT SELLER LEGIT AFTER SALES COMMUNICATION TO BUYER RECOMMENDED.
arnoldorolfo,5,2023-05-30 06:20,"Appearance:10
Suitability:10

Sana tumagal at di masira yung fan sa tubig"
dansigua07,5,2022-09-03 02:55,"Appearance:guds
Quality:gudss
Suitability:gudsss

Very gud quality sana tumagal at ndi agad mapundi"
t*****i,5,2023-12-20 04:23,"Appearance:10/10
Quality:10/10
Suitability:10/10

Very nice. Legit original Novsight n39. Yet to install it tho but the product seems to be working. Thank you seller."
keifferkobe,5,2023-12-09 11:16,"Suitability:nice
Quality:nice
Appearance:ok

With cooling built in ok na ok.sana tumagal."
marvinurriza440,5,2023-12-10 12:36,"Suitability:good
Appearance:maganda
Quality:mukhang matibay

Maganda. Di ko pa na-install. Sana ok sya pag nailagay ko na."
anj_shop1321,5,2023-05-13 08:37,"Quality:As advertised
Suitability:As advertised
Appearance:As advertised

Thank you seller. Also Thank you for the quick shipping. For older Hiluxs’, like 2005-2010, you will have to cut a bigger hole for the rubber water proofing cap to cover the bulb casing. This is because of the built in fan for the LED H4 bulb. Easy fix! Thank you again."
v*****o,5,2024-07-28 13:52,"Suitability:not yet tested
Appearance:good
Quality:good

Ok naman diko pa nakabit salamat seller"
hiltonvic,5,2024-03-15 05:48,"Quality:Good
Suitability:Good
Appearance:Good

Fast shipping
Well packed
Item is in good condition 
Will have to install it so will update my review in the future 

Thank you seller for shipping it asap"
techiemon2,5,2022-09-11 12:31,"Appearance:good
Quality:good
Suitability:good

Affordable and easy to install hope it'll last long. Kudos to the seller 😊"
falc0n23,5,2022-09-07 12:38,"Appearance:no physical damage
Quality:good quality

working na mn lahat high/low"
jeffreysolidumtamayo,5,2023-08-04 10:59,"Suitability:10/10
Quality:10/10
Appearance:10/10

Mabait si seller .. legit and madali kausap.
Thanks po sa uulitin .recommended seller."
jervinperez1208,5,2022-12-06 06:04,"Appearance:Maganda yung product
Quality:Legit maliwanag.

Thank you seller tska kay kuya rider."
kenlionel20,5,2024-05-09 00:38,"Appearance:good
Quality:good
Suitability:good

Good quality sana tumagal ang buhay nya salamat seller and rider and salamat shopee."
nohjblas67,5,2023-12-15 09:09,"Quality:i cant judge it for now hoping it will last a lifetime😅😅
Appearance:legit di mumurahin ang dating

Legit plug n play medyo nakabahan lang ako sa hi beam kasi prang hindi kasya buti nalang nakalikot at nagkasya"
khaleesi81,5,2023-12-16 19:26,Arrived the other day and item is working in good condition. Highly recommend. Price is reasonable. Item arrived on time.
aceboligao,5,2023-03-17 01:55,"hindi pa naikabit.
maganda packaging at mabilis dumating.
thank you shopee. 😊😊"
rollytombado,5,2022-12-15 15:47,"Appearance:very good
Quality:very good
Suitability:very good

Maayos ang packaging ng item at thank you seller at shoppee ang bilis dumating."
jreine85,5,2023-06-19 16:25,"Appearance:ok
Quality:ihope ok

Maganda at malaks din ung light . Mukang good ang quality naman Hopefully tumagal pleaseeee Base sa picture isa lang ang pinalitan ko dyan Pero prang sumabay sya sa pricey na ilaw heheh Salamat seller"
jonvbernardinojr.,5,2022-12-17 01:50,"Appearance:good
Quality:great
Suitability:great

Madaling dumating...fits perfectly sa vios 2015 gen 3..sana matagal bago mapundi..maliwag din sya super white!"
chrimt88,5,2022-10-29 06:59,"Appearance:good
Quality:good
Suitability:good

Di ko pa maiinstall, na stock ako sa cavite dahil sa bagyo, nasa manila ung kotse ko, sana um ok pag uwi ko."
dexterhugue27,5,2023-06-10 06:41,"Suitability:good
Appearance:good
Quality:good

Problema ko sir di ko makabit mali ang order ko dapat 9006 or HB3.. nag order ulit ako ng socket pang HB3 9006. 
H11 ang inorder ko. Salamat seller ang bilis ng deliver"
ranchiekevbiz,5,2023-10-12 10:26,"Quality:10 out of 10
Appearance:10 out of 10
Suitability:10 out of 10

Ordered Received In Good Condition and Packaging this is my second time purchase this Item"
locco_lala,5,2024-04-03 13:32,"Quality:Excellent
Suitability:Excellent fit
Appearance:Excellent

Fast shipping. Works really well. Super bright, hope it will last long. 
Highly recommended seller."
y*****r,5,2023-09-01 06:02,"Quality:excellent
Appearance:very nice
Suitability:excellent

Legit novsight po siya. Thanks seller at jnt."
d*****6,5,2022-09-27 13:32,I am happy and empressed...Sana lang tumagal nga kahit 5 years man lang 😁 money worth Naman at mabilis Ang delivery.
y*****8,5,2022-09-01 09:18,"Appearance:good
Quality:good
Suitability:good

it works fine, easy to install ..sana mgtagal at d kaagad ma pundi, thnk u seller and thnk u din sa raider na ng deliver."
pitesorio,5,2023-08-13 07:52,"Appearance:good
Suitability:good
Quality:good

Will my ratings once installed and tested st night"
jjnatividad19,5,2024-05-16 09:44,"Suitability:maganda
Appearance:maganda
Quality:high

Maganda yung quality oorder ulit ako soon"
bme48zaenb,5,2024-01-20 04:19,guds na guds ang prod.. fit  din po xa sa hyundai grace singkit.. plug and play mga lodi.. mabilis ang shipment.. salamat sa seller and sa snappy na courier.. hope it last kahit 1 year haha.. salaamt shoppe! 👍❤️
vincesitchon,5,2024-01-06 14:39,"Appearance:Not yet opened
Quality:Sealed
Suitability:Not yet opened

Hoping this works well! Thanks seller."
jonascalaay,5,2022-11-14 11:45,"Appearance:10
Quality:10
Suitability:10

Super kapal bubble wrap tnk u seller"
p*****1,5,2023-02-08 16:54,Good quality po at ang ganda ng product at sulit na sulit naman po ang binayad mo muka namang tatagal thank you po sa seller
m*****3,5,2022-12-16 23:23,"Appearance:ayos
Quality:2pcs sa box
Suitability:ayos

Plug and play sa DA .. ang liwanag din.."
hxnchmxn,5,2023-09-15 03:00,"Quality:Good

Nice LED, super bright hope will last longer, high brightness more visibility goods for long rides and mountain rides.."
neiloraa,5,2024-05-18 10:55,"Quality:good good
Suitability:afordable
Appearance:nice

thanks seller nd rider maayos ang pagka packing nd pag deliver."
rgjhayjhay122920,5,2023-11-16 03:53,"Appearance:very nice
Suitability:very nice
Quality:very nice

ayos na ayos legit sya nakabit ko na sa sasakyan gumagana lahat order na kayo ang ganda nya thank you seller"
sofaire,5,2022-09-28 12:27,"Appearance:Quality product
Quality:Great
Suitability:Compatible

I hope it will last longer."
rjcanturiasbeliganio,5,2023-01-24 11:58,"Appearance:Very clear very satisfied
Quality:Good
Suitability:for bajaj Re"
s*****4,5,2024-03-09 05:29,Seller sent out the item immediately. Delivery was fast and received the item without any damage. It was well packed. Will order again.
r*****8,5,2024-08-31 03:40,"Suitability:excellent
Quality:excellent
Appearance:very nice

goods n goods yung product, nkabit ko n rin, mas mura kesa s magpkabit sa mga shop, thanks seller mganda pgkabalot and mabilis dumating, laki ng natipid ko dahil s inyo! highly recomended tong shop n to!!!"
anthonylabrador762,5,2022-09-02 06:24,"Quality:goods na goods
Suitability:goods na goods

Pangalawang bili ko na to..di talaga ako binibigo ng item na to pati seller..."
shawngt,5,2023-10-09 15:05,"Suitability:FIT
Appearance:good
Quality:good

Sana magtagal to katulad nung una kong binili"
j*****s,5,2023-07-18 08:11,"Suitability:headlight for adventure
Quality:100
Appearance:Good Condition

Legit seller and nice seller thank you for fast responce and good quality item God bless"
princecjecaipang,5,2023-04-03 05:03,"Suitability:legit novsight
Appearance:astig
Quality:original novsight

thankyou seller and shoppee"
huskynigo,5,2022-10-19 12:05,Good quality sa abot kayang halaga. Madali siyang install. Plug and play.. hindi na mahirap mag drive ng gabi.. maraming salamat po
deneth27,5,2023-12-15 03:39,"Quality:10/10
Appearance:10/10
Suitability:10/10

Thank you so much seller and raider"
