username,rating,comment,timestamp
andrepenalver,5,"Performance:very good
Best Feature:super good
Product Quality:super good

This is my second purchase of this item and still it is very good the quality of it and performance, also thank you seller for the freebie you gave hoping to buy again😊..",2024-05-07 11:23:23
jm091095,5,"Performance:pang original talaga tunog
Product Quality:matibay",2024-05-24 03:06:54
robertocurioso,5,"Product Quality:good!

Legit maganda yung runog nya..🙂 sana magtagal.. thanks! 🙂",2024-08-20 08:46:49
girdz,5,"Did you know? Sunjae's swimming rival is really the 2008 Olympic Champion of the 2008 Summer Olympics held in Beijing, China. 

Park Tae-Hwan won a gold medal in the meter freestyle event and a silver medal in the 200-meter freestyle event. He is the first Asian swimmer to claim a gold medal in the men's 4meter freestyle, and the only Korean to win an Olympic medal in swimming to date.

Fun Fact: Park Tae Hwan agreed for the cameo because of Kim Hye7-Yoon. They know each other in one reality show of SBS 'Law Of The",2024-05-20 15:01:17
j*****a,5,"Performance:nice
Product Quality:great
Best Feature:clear sound

Impressive...has a clear sound considering that it   has a cheaper price..",2024-04-22 13:36:19
j8k4ynoh4q,4,"Performance:okay
Product Quality:okay
Best Feature:okay",2024-06-18 01:13:13
ojaybandico,5,"Product Quality:Good
Best Feature:Good
Performance:Good

Salamat sa freebies",2024-04-29 08:43:41
a*****2,5,"Best Feature:Great!
Product Quality:Great!
Performance:Great!

Surely my go to shop if my earphones will be destroyed again hahahah nice quality! Super nice nung sounds same quality sa original headset ko.",2024-03-04 11:08:15
s*****n,5,"Best Feature:Good
Performance:Good
Product Quality:Good

Maganda po ang item. Gumagana po sya. Overall 5/5 ✨ Will order again. Tysm seller & shopee ❤️",2024-01-31 09:54:20
bg8wp6487h,5,"Product Quality:good  quality
Best Feature:all functions
Performance:Great

I'll give 5 star,responsible seller, the items packed we'll, safely and fast delivery, I'm happy to receive my order,happy shopping",2024-02-03 05:52:47
lornasalen,5,"Best Feature:10
Performance:10
Product Quality:10

Sound is good and quality is nice. I like also the freebie, so cute cellphone holder. Thank you seller.",2024-10-05 05:42:05
h*****7,5,"Performance:good maganda yung sounds napakalakas
Best Feature:💯
Product Quality:💯

Thank u so much for this! Ang ganda ng tunog nya legit!",2024-07-20 06:30:22
j*****a,5,"Product Quality:the best
Best Feature:clarity of the sound
Performance:great

My second time to purchase this item because my first other one is used by my son. I love the clarity of the sound considering that it is cheap.",2024-10-25 23:24:31
samantha_smith091720,5,"Best Feature:sounds good 😊
Performance:good performance
Product Quality:very good quality

This is my 2nd order of Samsung earphones
Best quality and sounds thank you seller😇☺️",2024-03-31 02:41:41
maryasel,5,"Best Feature:Amazing
Performance:Nice
Product Quality:Good

With so many problems in the world right now, it's almost impossible to solve them all. If only people in power were not so greedy for money, the world would be a better place for everyone. This is why I used the phrase “Girl with all the superpowers” to generate my own AI artwork. Having one superpower is already incredible; imagine having every superpower. One would be unstoppable. I imagine that person as me. If I had every ability, I would love to take part in solving all the problems. However, that is far from possible. I think this is one of the many purposes of art: to imagine and visualize the unimaginable. Art allows you to create things beyond possibility. It serves as a safe haven and a great escape.",2024-07-14 02:40:57
gyanvirgeld.oliveros,5,"Product Quality:Amazing
Performance:Excellent
Best Feature:Amazing

Very Good, Very nice, Good Quality sounds, NICE NICE!!!! GOOD JOB, Pahingi bente😁👌🏻 Ganda ng rating ko sa inyo ah🥰🥰 Labyu🥰🥰",2024-06-11 13:37:27
mylenemojar654,5,"Performance:Good
Product Quality:Good

Ok sya ganda ng sound  thanks din sa freebie ❤️",2023-12-18 04:04:53
deckieee03,5,"Product Quality:Good
Best Feature:Good
Performance:Good

Good sa presyo ang quality kahit made in china sya di sya nagkakalayo sa made in vietnam na gawa tlga ng samsung",2024-06-15 15:16:43
ivasabuero,5,"Performance:lakasss ng volume, like it very much! ✨✨",2024-08-28 07:16:57
katetimothy,5,"Product Quality:good
Performance:excellent
Best Feature:with freebie

It has good quality and I've been listening to music a lot Soo, it's a relief that I didn't got disadvantage when I got the product",2024-04-25 13:42:28
riexz,5,"oks na sya pra sa price nya 🤙 (tho hindi tlga siya parang original, ok na syang panghalili—hindi gaano lubog ang sounds) thank u",2024-08-30 11:02:08
d*****5,5,"Product Quality:Good and looks durable
Best Feature:the sound
Performance:it's not basag even if you full the volume

The earphone sound quality is so good sa price na 99 php lang. I was amazed with its performance and how it came with a cute freebie na phone stand. This product feel so legit. I really love this cause it makes me remember my free stress days self. Overall, worth it and magaan super sa bulsa.",2024-01-03 03:50:23
m*****n,5,"Product Quality:good
Best Feature:okay
Performance:malakas at maganda nmn ang sound

Thanks seller and rider. Ngayon lang nakapag review na busy kasi. Pangalawang bili ko na dito ngayon at same na maayos at maganda ang sound. hindi mahina o parang kulob. Sana lang tumagal din tulad sa unang bili ko dito.",2024-02-24 03:01:29
dorismorales415,5,"Performance:grabe legit na original
Product Quality:very good sound
Best Feature:same with the original

Thank you seller legit na orginal ang ganda sound.... thank sa freebies😊😊😊😊",2024-01-15 00:12:33
jeck_hardy,5,"Thank you very much, I received 2 days ago but I just had the time to give a review today due to some prior errands. So sorry. Anyways, very nice audio. Good job.",2024-02-12 05:09:59
lenixx123,5,"Product Quality:Superb

Kuhang kuhang yung quality ng original, super sulit, with freebies pa, thank you seller!",2024-03-22 06:33:59
greceljoydatwin,5,"Best Feature:Good
Performance:Good
Product Quality:Good

Nagustuhan ko siya saka good condition naman yung products walang damage, thank you seller!!!",2024-07-26 21:49:33
byul.fiandre,5,"Performance:10/10
Product Quality:10/10
Best Feature:10/10

Omgggg! Nahanap ko kayo. Gustong gusto ko talgaa product nyo. Di bingi pakinggan yung sound. Parang original tunog ;-;
Thank youuuuuu
Di ako naka pic. Natuwa ako, ginamit ko agad.",2024-03-28 06:26:53
m*****s,5,"Best Feature:Sound quality
Performance:Super nice
Product Quality:High quality

Pang anim ko na atang headset na naorder ko dito. Walang palya. Lahat maganda, sound quality the best. Kaya pag bibili ulit ako nang headset. Dito lang tlaga ako sa store natuh bibili. Thank you po.",2024-10-26 01:19:22
jaswillgraceann,5,"Product Quality:matibay
Best Feature:100
Performance:100

3rd times na Ako umorder dto d talaga ako binibigo, thank you seller.",2024-06-19 23:06:53
6a6b1pw1kk,5,"Performance:good
Product Quality:good quality
Best Feature:good",2024-02-05 05:31:05
sheilamaebulatin809,5,"Performance:ok
Product Quality:ok
Best Feature:it fits on my ear

The product is okay it fits in my ear and it works too the sound has a little crack but it's manageable.",2024-07-23 13:51:36
k*****z,5,"love it, was hesitant to order it at first, but it did not disappoint me, nice quality, thank you seller more power thank you",2024-10-16 08:16:20
imjanet05,5,"pang tatlong order kona to,nirecommend ko sa mga kapatid ko,sobrang ganda ng tunog nya at matibay ket mag bayu bayuot at mag papatak patak hindi nasisira,di gaya ng iba na konting patak sira agad",2024-07-26 04:20:36
m*****8,5,"Best Feature:compatible on my phone
Performance:not that really good in sounds😔
Product Quality:nice

Ok nmn xa,yun nga lang parang basag yunh sounds😔",2024-08-29 11:28:37
aundrieskye,5,Thanks seller..good ang item at wlamg damage..may pa.freebies pa,2024-03-20 08:35:11
j*****y,5,"Product Quality:good
Performance:good",2024-07-18 14:43:29
9pyekn0xp4,4,"Product Quality:it came in pretty good shape as i was expecting
Best Feature:sound quality

The earphones was nice the sound too and thank you for the free phone stand it's so cute!!",2024-06-07 04:58:19
e*****s,5,"Best Feature:original
Performance:sounds good
Product Quality:mukhang matibay

Ang bilis dumating considering na galing pa sa ibang bansa salamat seller at rider sa pagdala",2024-03-19 07:35:29
l*****t,5,"Performance:goods
Product Quality:nice quality
Best Feature:functioning",2024-04-27 07:27:19
heaton,5,"Product Quality:Superb
Performance:Clear sound
Best Feature:Legit",2024-01-06 04:20:29
guilbertgiodahe,5,"Best Feature:good
Performance:excellent
Product Quality:good

I love the headset,,thanks for the fon stand freebie..thanks seller 👍",2024-10-22 00:12:04
a*****a,5,"Performance:very clear sound
Product Quality:Looks Original
Best Feature:10/10

the item was great but the seller didn't wrapped the item properly with bubble wrap knowing the item will destroy easily during the shipment overall was ok with freebie thanks for that..


the pic&vid is not related",2024-03-09 02:14:08
stevencyronc.mediana,5,"Salamat po, masaya po ako na natangap ko yung order kahit na natagalan liget naman po yung order ko salamat❤️
Pag patuloy nyo po. Good day and god bless❤️",2024-08-24 02:42:03
laycaironaberido,5,"Performance:Good
Best Feature:Good
Product Quality:Good

Photos not related, ginagamit na po kasi, overall maganda nmn goods sya",2024-07-14 12:38:21
htaed18,5,"Performance:Excellent
Product Quality:Excellent

As always excellent product.",2024-03-11 14:53:47
shaereenpagaura,5,i really like it. worth the wait and worth the price !,2024-08-06 14:25:41
y4t3gycpkv,1,"Best Feature:not working to samsung a50
Performance:not wprking to samsung a50

Not working to samsung a50. Disappointed",2024-10-04 08:48:31
aundrieskye,5,"Performance:very good
Product Quality:95%
Best Feature:good

Thanks seller,good ang item at gumagana at my pa freebies pa..maganda din pagkakabalot ng parcel,, XEI XEI..",2024-09-08 22:12:35
ruelincastillo_123,5,Product Quality:I love the quality of the product it takes longer for about 5 months and the sound is also good.,2024-01-03 05:36:28
anneartiaga,5,"Performance:good
Product Quality:goods nmn

Gumagana nman sila dalawa lakas ng boses thank you seller",2024-05-16 00:46:11
rhxzxub803,5,Ok naman yung headset. Both well packed and functioning.,2024-05-07 15:14:37
k*****0,5,Maganda po and ang cute niyang tignan so yea must buy po and worth it hehe go po bilhin niyo na wala na ako matype but legit maganda,2024-05-06 14:15:32
yt0bk29jqa,5,"Product Quality:goods yung phone nya hindi basag
Performance:goods
Best Feature:basta bili na lang kayo😅",2024-04-17 10:10:12
nelsonlacar,5,"Performance:good
Product Quality:good
Best Feature:good

salamat sa free bi na cellphone stand seller 🥰🥰",2024-04-15 04:19:32
giegieroman,5,"Best Feature:nice
Product Quality:good
Performance:worth to wait

Maganda ndi masakit sa tenga,legit",2024-04-05 09:06:19
k*****o,5,"The item is delivered safe, no damage and everything is working. Thank you for your service",2024-01-13 07:29:12
boysaing,5,"Best Feature:Sana laging ganito pangalawang order ko na to
Performance:Ayos na ayos
Product Quality:MAGANDA",2024-02-29 02:52:29
m*****8,5,"Performance:9
Product Quality:9

Maganda ang tunog. Thank you",2024-06-29 10:22:25
1d24qggp6a,5,"Product Quality:VERY GOOD
Performance:VERY GOOD
Best Feature:VER GOOD

OKAY KEYO WAY DAOT",2024-05-16 04:34:36
maryrosetambong949,5,"Product Quality:Good
Best Feature:Good
Performance:Good

Original for me will buy next time❤️",2024-02-11 08:27:34
tr5dmaa_2t,5,Legit maganda sya goods naka balot ng bubble wrap at tama kulay dumating thank you seller 😊😊😊,2024-06-03 23:01:14
gab24i,5,Good quality..its working..good packaging with bubble wrap😍😍😍 and hav freebies..cp stand❤️,2024-04-30 01:41:13
adrianbuendia519,5,"Best Feature:nice sounds
Product Quality:looks premium
Performance:good for the price",2024-08-12 10:40:06
sacdalannormie,5,"Performance:ok na ok.
Product Quality:maganda tunog
Best Feature:ok angvsounds.

Thank seller..very nice item.",2024-10-05 08:57:54
e*****6,5,"Best Feature:same as the original one
Product Quality:good
Performance:good

When it came and I tested it, its okay but when i tested the button in the microphone area to check if its really play or stop the music, but it didnt work. But days later im shocked when it finally worked! Now it just like my original one! Soundz good",2024-02-27 10:35:19
m*****a,5,"Best Feature:close to original
Product Quality:good quality sound.
Performance:Very satisified

Very good considering it's affordable price",2024-04-02 05:52:23
a*****7,5,"Performance:10/10
Best Feature:10/10
Product Quality:10/10

Complete, no damage, and worth to buy. Thank you",2024-01-13 07:46:08
b*****7,5,"Performance:10
Product Quality:10
Best Feature:10

Excellent! 
Thank much, seller! 😍",2024-08-17 05:54:43
maharlikaaa,5,"Product Quality:100/100
Performance:100/100
Best Feature:100/100

Subrang Ganda At ang linis ng Kanyang Tunog.  basta maganda ang headset looking original talaga hihi.",2024-09-09 04:24:05
celestedivina01,5,"Product Quality:100%
Performance:Excellent quality tlga sa abot kayang halaga. Nakailang order na ko ng headset na Samsung.",2024-09-03 12:24:44
j*****3,5,"Performance:Very good

Second time order super legit seller and product❤️❤️",2024-06-05 11:09:42
c*****o,5,"Best Feature:simple to put in ear
Product Quality:high quality
Performance:better than expected",2024-04-23 11:48:59
kiritoenal,5,"Best Feature:Best headset
Performance:10/10
Product Quality:10/10

the sound and the bass on this headset is so nice, Loud and clear.",2024-03-24 05:31:44
c*****e,5,"Performance:very good

THANKYOU i love the product as well as the freebie🫶",2024-03-11 10:18:30
f*****e,5,Best Feature:The sound is good and clear. The earphone lasts for a long time and is budget friendly.,2024-07-04 11:37:44
f*****9,5,"Product Quality:100% original
Best Feature:sound produced is the same as the original

thanks also for the freebie!!!!!",2024-02-29 07:57:48
3bfxxqq9eh,5,"Best Feature:sobrang ganda
Product Quality:verygoood
Performance:sobeang ganda ng tunig nya makakaorder ako ulit🤗

Thankyouusoomuchhh seller",2024-02-14 01:30:18
johnfrancis407,5,"Best Feature:maganda,legit,original sya guyss,pangalawang order ko na,sulitt
Performance:maganda,buo ang tunog lalo na sa bass
Product Quality:maganda,orig,worth itttt",2024-10-08 09:41:38
vajoyyy_,5,"second time ordering, no doubts super ganda talaga ng quality",2024-02-02 12:43:02
judebungabong,5,"Performance:Good
Product Quality:Good
Best Feature:Good",2024-09-04 10:02:01
ustare,5,"Product Quality:good
Performance:good
Best Feature:loud",2024-07-28 12:38:11
richieagbayani,5,"Product Quality:good
Best Feature:good
Performance:good",2024-07-12 11:17:14
mikejaselle,5,"Product Quality:good
Performance:good
Best Feature:good",2024-06-24 00:46:00
nelsonlacar,5,"Best Feature:good
Product Quality:good
Performance:good",2024-04-23 03:17:06
ariesjordansantos,5,"Best Feature:good
Performance:good
Product Quality:good",2024-03-19 21:51:50
m*****s,5,"Best Feature:sound
Performance:very nice
Product Quality:super duper nice

My suki. I already bought and ordered here, 3 times already. Super satisfied and nice quality.",2024-05-08 16:35:49
leoriellopez,5,"Performance:Good

Goods kaau ma'am/ Sir Thanks 
Solid na solid🤙",2024-03-15 23:53:02
kcirejlracoilisab,5,"Best Feature:high quality
Performance:nice sound
Product Quality:good

Thank you seller for the freebis..i would love to buy again",2024-04-27 08:06:59
anmar_123,5,"Product Quality:Perfect
Best Feature:Perfect
Performance:Good

Super Nice ,Ok na ok po ,Thanks seller ,Thanks sa pa freebie",2024-03-04 05:28:15
qb02rjbxtr,5,Good quality👍 well packed👍 thank you for the freebies🙂,2024-07-20 06:43:34
spencerpugayan,5,"Best Feature:good
Product Quality:EXCELLENT
Performance:EXCELLENT

Ganda ng tunog.. lakas ng base.. bili na kayo.. I will order again soon.. thanks sa freebie ..",2024-04-17 03:49:14
johnfrancis407,5,"Best Feature:maganda,matibay,legit na samsung headsettt,worth ittt
Performance:maganda,malinaw yung bass",2024-09-10 06:39:43
lornaunlayao,5,"Product Quality:good
Performance:good

Ganda talaga nitong earphone na to...kapag sira na ulit bibili ulit Ako,.... salamat sa rider...at sa seller...",2024-09-30 02:51:01
3*****a,5,"Product Quality:nice
Performance:nice
Best Feature:nice",2024-06-27 11:06:22
b*****8,5,"Performance:Good
Product Quality:Good
Best Feature:Good",2024-02-05 03:17:08
j*****a,5,MAGANDAA SIYAAA!! ANG GANDAA NG SOUNDDD!! THANKSSS SELLERRR!!!!,2024-09-13 21:57:19
alyssadaebaniqued,5,its gumagana thank you for my purchase hehehe😂 wonderful birthday po ba ba ung mga wy to be a little late today but it will not,2024-09-03 11:10:03
97bs5f2gzz,5,"Best Feature:good
Performance:good
Product Quality:very good

Recommended products...",2024-02-18 13:38:38
byul.fiandre,5,"Best Feature:Sound Quality
Performance:10/10
Product Quality:10/10

Second time buying po. Gustong gusto ko po quality ng headset na to. Parang original.",2024-07-18 02:14:17
rafne03,5,"Product Quality:perfect
Performance:perfect
Best Feature:perfect

So perfect",2024-08-28 11:10:00
nphkg998yb,5,"Performance:excellent
Best Feature:good
Product Quality:good

Maganda matibay",2024-07-28 08:41:42
202kh98egg,5,"Product Quality:10/10
Best Feature:10/10
Performance:10/10",2024-06-22 12:45:32
liamaetuyor279,5,"Performance:perfect
Product Quality:perfect
Best Feature:perfect

Maganda",2024-05-20 12:30:12
noriana1521,5,"Best Feature:👍👍👍👍👍
Performance:verrygood
Product Quality:goood

Magandang klase👍",2024-03-03 03:52:08
theweaked1,5,"Best Feature:ganda sa sound
Product Quality:og samsung

Sauulitin paalam😄",2024-09-21 07:39:50
amarafajardo,5,"Best Feature:maayos
Performance:malakas
Product Quality:pwdee na",2024-06-14 08:14:53
mariouniana,5,"Product Quality:very nice
Performance:very nice

very nice",2024-02-01 00:04:50
cheslan,5,"legit na legit,ganda yung voice sa tenga.medyo delay lng dahil sa bagyo but super nice..thanks seller",2024-10-30 22:58:17
_alee08,5,"Performance:Excellent
Product Quality:Excellent
Best Feature:Durable",2024-06-14 16:39:00
melbacastillo26,5,"Product Quality:good
Performance:good
Best Feature:good

good product",2024-05-24 06:44:57
lhyne.88,5,"Performance:good
Product Quality:good
Best Feature:clear sound",2024-10-29 01:00:41
r*****o,5,"Product Quality:10/10
Best Feature:10/10
Performance:10/10

I'll order again.",2024-09-25 02:42:07
j*****4,5,"Best Feature:excellent
Performance:good
Product Quality:very goo",2024-05-13 08:52:58
marvintrankz,5,"Product Quality:10o
Best Feature:10o
Performance:100",2024-08-27 01:54:59
gablevi,5,"Performance:ok
Product Quality:ok
Best Feature:sounds good

Ok siya guys",2024-08-09 02:15:45
reymarkbroolarivera,5,"Best Feature:10/10
Performance:10/10
Product Quality:10/10

100% legit Po. 🙂",2024-06-01 08:46:35
kiritoenal,5,"Best Feature:10
Performance:10
Product Quality:10

Excellent for this product.",2024-01-14 06:21:30
jonathantelebrico,5,"Product Quality:10
Best Feature:10
Performance:10

ang ganda",2024-06-15 12:10:55
ariz.shopee,4,Shipped fast even if I am in the Visayas. Sound quality is ok (y),2024-06-01 17:13:08
katana606,5,Thanks sa freebies. Also the headsets are working fine. Hope they last.,2024-05-01 12:01:25
c*****2,5,Maganda tunog parang original pero na bili q lng sya ng 139 pesos ksma na sf,2024-02-22 10:00:26
marecargarciagalagate,5,Thankyou po sa pa free...working nmn po good na good ganda ng tunog,2024-06-08 16:29:03
k0pnpqbpfw,4,"Performance:what u see is what u get
Product Quality:works well

Will mark as one of the legit shops here.",2024-09-28 14:38:01
y*****r,5,Still the same it has been my I don't how many purchases but I am still happy with the  product,2024-01-22 10:06:34
ma.cecilia23,4,Clear ang earphone pag nakikinig ka ng music o nanonood ng yt vids. Malapit na ang quality sa original samsung earphone. Tinutopak lang minsan kasi nawawala yung audio.,2024-06-07 07:45:48
joejoecloset,5,Samsung earphone..Sobra ganda at oorder pa ako sa susunod 😊.. may pa freebies pa si seller..,2024-04-22 12:32:31
elicute12,4,okey na okey talaga sa shop na to mukang original na headset tlga,2024-01-10 11:05:50
gk7v09kff_,5,"Product Quality:perfect!
Performance:10/10",2024-09-08 13:09:38
ferlysilvestre,5,"2nd order ko na, maganda at matibay..thank you seller & kuya rider..",2024-08-07 02:13:18
leanne.17,5,Gumagana na naman. Palitan ko feedback ko pag nasira agad.,2024-04-07 01:44:18
ritchel95,5,Sobrang ganda po and thank you seller sa pa freebie po na lagayan ng phone 😊😘,2024-05-04 13:48:17
l*****h,5,3rd time to order. Tumagal din sa akin to basta ingatan lang.  Dito legit talga,2024-09-02 12:32:56
tayanhossen,4,"Performance:good
Best Feature:nice
Product Quality:good

Tanggap Kona Po thanks po",2024-08-20 05:13:22
imjanet05,5,"Ang tagal nya dumating,Jan.20 kopa inoder Feb.09 na dumating pero maayos naman yung sounds nya,parehas nagana,thankyou din sa freebies",2024-02-09 05:59:43
